indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
—————————————,10738,species,,,1518605,B.Grammomys sp. 13ZR68,,,,,,,
—————————————,10739,species,,,2448871,B.Grammomys sp. DPL-2017,,,,,,,
———————————,10740,genus,160447,A.Hydromys,,,,,,,,,
————————————,10741,species,160448,A.Hydromys chrysogaster,160448,B.Hydromys chrysogaster,=,,,,canonicalName,,tip
———————————,10742,genus,184395,A.Notomys,184395,B.Notomys,=,,,,canonicalName,,
————————————,10743,species,184396,A.Notomys alexis,184396,B.Notomys alexis,=,,,,canonicalName,,tip
————————————,10744,species,337224,A.Notomys fuscus,337224,B.Notomys fuscus,=,,,,canonicalName,,tip
————————————,10745,species,442588,A.Notomys aquilo,442588,B.Notomys aquilo,=,,,,canonicalName,,tip
————————————,10746,species,442589,A.Notomys cervinus,442589,B.Notomys cervinus,=,,,,canonicalName,,tip
————————————,10747,species,442590,A.Notomys mitchellii,442590,B.Notomys mitchellii,=,,,,canonicalName,,tip
———————————,10748,genus,187267,A.Pseudomys,187267,B.Pseudomys,=,,,,canonicalName,,
————————————,10749,species,187268,A.Pseudomys australis,187268,B.Pseudomys australis,=,,,,canonicalName,,tip
————————————,10750,species,221128,A.Pseudomys chapmani,221128,B.Pseudomys chapmani,=,,,,canonicalName,,tip
————————————,10751,species,221912,A.Pseudomys nanus,221912,B.Pseudomys nanus,=,,,,canonicalName,,tip
————————————,10752,species,221913,A.Pseudomys hermannsburgensis,221913,B.Pseudomys hermannsburgensis,=,,,,canonicalName,,tip
————————————,10753,species,221914,A.Pseudomys desertor,221914,B.Pseudomys desertor,=,,,,canonicalName,,tip
————————————,10754,species,442603,A.Pseudomys albocinereus,442603,B.Pseudomys albocinereus,=,,,,canonicalName,,tip
————————————,10755,species,442604,A.Pseudomys apodemoides,442604,B.Pseudomys apodemoides,=,,,,canonicalName,,tip
————————————,10756,species,442605,A.Pseudomys bolami,442605,B.Pseudomys bolami,=,,,,canonicalName,,tip
————————————,10757,species,442606,A.Pseudomys calabyi,442606,B.Pseudomys calabyi,=,,,,canonicalName,,tip
————————————,10758,species,442607,A.Pseudomys delicatulus,442607,B.Pseudomys delicatulus,=,,,,canonicalName,,tip
————————————,10759,species,442608,A.Pseudomys fieldi,442608,B.Pseudomys fieldi,=,,,,canonicalName,,tip
————————————,10760,species,442609,A.Pseudomys fumeus,442609,B.Pseudomys fumeus,=,,,,canonicalName,,tip
————————————,10761,species,442610,A.Pseudomys gracilicaudatus,442610,B.Pseudomys gracilicaudatus,=,,,,canonicalName,,tip
————————————,10762,species,442611,A.Pseudomys higginsi,442611,B.Pseudomys higginsi,=,,,,canonicalName,,tip
————————————,10763,species,442612,A.Pseudomys johnsoni,442612,B.Pseudomys johnsoni,=,,,,canonicalName,,tip
————————————,10764,species,442613,A.Pseudomys laborifex,442613,B.Pseudomys laborifex,=,,,,canonicalName,,tip
————————————,10765,species,442614,A.Pseudomys novaehollandiae,442614,B.Pseudomys novaehollandiae,=,,,,canonicalName,,tip
————————————,10766,species,442615,A.Pseudomys occidentalis,442615,B.Pseudomys occidentalis,=,,,,canonicalName,,tip
————————————,10767,species,442616,A.Pseudomys oralis,442616,B.Pseudomys oralis,=,,,,canonicalName,,tip
————————————,10768,species,442617,A.Pseudomys patrius,442617,B.Pseudomys patrius,=,,,,canonicalName,,tip
————————————,10769,species,442618,A.Pseudomys pilligaensis,442618,B.Pseudomys pilligaensis,=,,,,canonicalName,,tip
